;Cluster_Dist_0.2;Cluster_Dist_0.4;Cluster_Dist_0.6;Cluster_Dist_0.8;session;k_aircraft;k_operator;k_mission
3131814;43;43;41;12;3131814;48117;10;1
3132105;100;100;95;23;3132105;52523;83;1
3132712;17;17;17;6;3132712;52255;298;1
3133004;68;68;63;12;3133004;41622;81;1
3133525;84;84;79;17;3133525;54811;83;1
3133837;5;5;5;3;3133837;50440;83;1
3134113;88;88;83;17;3134113;41620;83;1
3134661;59;59;56;12;3134661;46829;3;1
3135077;61;61;58;12;3135077;41619;81;1
3135203;36;36;34;8;3135203;54811;83;1
3135520;32;32;30;8;3135520;46450;3;1
3136232;47;47;45;12;3136232;52519;3;1
3136631;86;86;81;17;3136631;52522;83;1
3138099;45;45;43;12;3138099;52521;10;1
3138270;107;107;102;26;3138270;46852;20;-2
3140206;19;19;19;6;3140206;52255;298;1
3148989;60;60;57;12;3148989;50670;3;1
3150375;30;30;30;8;3150375;46890;81;1
3151283;67;67;62;12;3151283;52519;3;1
3152409;34;34;32;8;3152409;41622;81;1
3152564;64;64;60;12;3152564;50670;3;1
3153093;51;51;49;12;3153093;48380;20;-2
3153634;71;71;66;12;3153634;41559;81;1
3154891;20;20;20;6;3154891;52255;298;1
3156317;3;3;3;2;3156317;50440;83;1
3156892;108;108;103;27;3156892;48109;20;-2
3157373;41;41;39;11;3157373;52522;83;1
3157678;93;93;88;19;3157678;52524;83;1
3157771;79;79;74;15;3157771;41620;83;1
3158312;14;14;14;6;3158312;48380;20;-2
3158344;62;62;59;12;3158344;46450;3;1
3158354;11;11;11;6;3158354;46852;20;-2
3158405;38;38;36;8;3158405;50670;3;1
3158496;22;22;22;6;3158496;48117;10;1
3158561;109;109;104;28;3158561;46875;112;1
3158574;53;53;51;12;3158574;46874;10;1
3158686;21;21;21;6;3158686;52255;298;1
3158800;24;24;24;7;3158800;46874;10;1
3160394;1;1;1;1;3160394;50440;83;1
3160708;98;98;93;22;3160708;52255;298;1
3161562;70;70;65;12;3161562;50826;3;1
3161601;75;75;70;14;3161601;41621;83;1
3164205;76;76;71;14;3164205;41621;83;1
3164328;26;26;26;7;3164328;45401;81;1
3164630;52;52;50;12;3164630;54806;394;1
3165366;110;110;105;29;3165366;46521;12;3
3166069;101;101;96;24;3166069;54811;83;1
3167285;2;2;2;1;3167285;50440;83;1
3167713;81;81;76;16;3167713;52522;83;1
3167987;57;57;54;12;3167987;52254;298;1
3168154;105;105;100;26;3168154;50440;83;1
3168488;18;18;18;6;3168488;39023;298;1
3169325;27;27;27;7;3169325;46874;10;1
3169331;48;48;46;12;3169331;48112;10;1
3170276;49;49;47;12;3170276;54806;394;1
3170758;7;7;7;4;3170758;41623;161;1
3170843;63;63;59;12;3170843;52519;3;1
3172104;50;50;48;12;3172104;46890;81;1
3172114;8;8;8;5;3172114;48382;81;1
3173253;82;82;77;16;3173253;52522;83;1
3173379;102;102;97;25;3173379;46896;20;-2
3173708;74;74;69;13;3173708;41622;81;1
3174000;73;73;68;12;3174000;41624;81;1
3174851;9;9;9;6;3174851;46852;20;-2
3175547;65;65;61;12;3175547;52519;3;1
3175548;66;66;61;12;3175548;50670;3;1
3175826;97;97;92;21;3175826;41620;83;1
3178837;56;56;53;12;3178837;41624;81;1
3178915;28;28;28;8;3178915;46890;81;1
3179043;85;85;80;17;3179043;52524;83;1
3180102;12;12;12;6;3180102;46896;20;-2
3180207;77;77;72;15;3180207;54811;83;1
3180256;39;39;37;9;3180256;41621;83;1
3180320;80;80;75;15;3180320;54811;83;1
3180345;87;87;82;17;3180345;52524;83;1
3180366;112;112;107;31;3180366;52520;112;1
3180740;44;44;42;12;3180740;48117;10;1
3182561;54;54;51;12;3182561;48382;81;1
3182562;35;35;33;8;3182562;48382;81;1
3183986;33;33;31;8;3183986;52519;3;1
3184307;78;78;73;15;3184307;48091;83;1
3185149;10;10;10;6;3185149;46855;10;1
3185190;58;58;55;12;3185190;50825;335;1
3185199;13;13;13;6;3185199;52254;298;1
3186263;83;83;78;16;3186263;52524;83;1
3188044;104;104;99;25;3188044;48380;20;-2
3188151;99;99;94;22;3188151;41621;83;1
3188869;23;23;23;6;3188869;39023;298;1
3189019;15;15;15;6;3189019;52255;298;1
3189278;31;31;30;8;3189278;50670;3;1
3190321;89;89;84;18;3190321;52524;83;1
3190699;29;29;29;8;3190699;46890;81;1
3190930;103;103;98;25;3190930;46863;20;-2
3190938;91;91;86;19;3190938;41620;83;1
3191177;92;92;87;19;3191177;52522;83;1
3191241;6;6;6;3;3191241;50440;83;1
3191560;16;16;16;6;3191560;52254;298;1
3192449;55;55;52;12;3192449;46896;20;-2
3193315;37;37;35;8;3193315;46841;3;1
3194498;111;111;106;30;3194498;45401;81;1
3195277;46;46;44;12;3195277;48117;10;1
3195534;40;40;38;10;3195534;52523;83;1
3195621;95;95;90;21;3195621;54674;339;3
3196358;106;106;101;26;3196358;46896;20;-2
3196603;69;69;64;12;3196603;41559;81;1
3197084;96;96;91;21;3197084;54811;83;1
3197402;42;42;40;11;3197402;48117;10;1
3197663;94;94;89;20;3197663;52522;83;1
3198252;72;72;67;12;3198252;54806;394;1
3198916;4;4;4;2;3198916;50440;83;1
3200708;25;25;25;7;3200708;46433;10;1
3202428;90;90;85;18;3202428;46875;112;1
